phase,feature,labeled_count,unlabeled_count,labeled_mean,unlabeled_mean,standardized_mean_difference,ks_statistic,labeled_missing_rate,unlabeled_missing_rate,missing_rate_difference,warning
T0,recent_latest_source_oos_count_365d,300,11700,1.5666666666666667,1.485042735042735,0.07496114928130272,0.03564102564102567,0.0,0.0,0.0,False
T0,recent_latest_source_de_count_365d,300,11700,1.4833333333333334,1.4663247863247864,0.015586943937632396,0.03017094017094013,0.0,0.0,0.0,False
T0,recent_cross_source_conflict_present_365d,300,11700,0.6066666666666667,0.6232478632478633,-0.03421080493384972,0.016581196581196556,0.0,0.0,0.0,False
T0,de_residency_proxy_present,300,11700,0.5066666666666667,0.49606837606837606,0.021197151172087033,0.010598290598290594,0.0,0.0,0.0,False
T0,days_past_60_day_grace_proxy,300,11700,113.15,120.29299145299146,-0.022849808476194323,0.015128205128205119,0.0,0.0,0.0,False
T0,post_60d_oos_vehicle_signal_count,300,11700,0.10333333333333333,0.09247863247863247,0.03363516517968904,0.01418803418803416,0.0,0.0,0.0,False
T0,post_60d_prior_state_persistence_any_present,300,11700,0.08333333333333333,0.06290598290598291,0.0838179666948813,0.020427350427350444,0.0,0.0,0.0,False
T1,p_review_warranted_t0,300,11700,0.29260317881782894,0.29255300491212316,0.00039556744762438926,0.04974358974358975,0.0,0.0,0.0,False
T1,p_review_not_warranted_t0,300,11700,0.35440959426019436,0.3529414342257078,0.0113813446297215,0.03880341880341881,0.0,0.0,0.0,False
T1,p_insufficient_evidence_t0,300,11700,0.35298722692197665,0.354505560862169,-0.024144234408709143,0.07564102564102565,0.0,0.0,0.0,False
T1,new_t1_record_count,300,11700,1.3633333333333333,1.3572649572649573,0.008721145897422832,0.0064102564102564985,0.0,0.0,0.0,False
T1,new_t1_oos_count,300,11700,0.6133333333333333,0.6203418803418803,-0.010685118472416382,0.013931623931623949,0.0,0.0,0.0,False
T1,new_t1_de_count,300,11700,0.6966666666666667,0.7035897435897436,-0.010200629628929016,0.009487179487179476,0.0,0.0,0.0,False
T1,new_t1_state_missing_count,300,11700,0.05333333333333334,0.03333333333333333,0.10950842529492288,0.020341880341880336,0.0,0.0,0.0,False
T1,new_t1_source_domain_diversity,300,11700,1.23,1.2392307692307691,-0.014288038002053171,0.01179487179487182,0.0,0.0,0.0,False
T1,new_t1_new_record_count,300,11700,0.4666666666666667,0.4476068376068376,0.032157112583963816,0.019145299145299055,0.0,0.0,0.0,False
T1,new_t1_record_correction_count,300,11700,0.4266666666666667,0.4588034188034188,-0.053969873208822475,0.018803418803418737,0.0,0.0,0.0,False
T1,new_t1_status_update_count,300,11700,0.47,0.45085470085470086,0.03205916986750205,0.01692307692307693,0.0,0.0,0.0,False
T1,newly_effective_t0_record_count,300,11700,0.9466666666666667,0.9732478632478633,-0.02385140802732401,0.031538461538461515,0.0,0.0,0.0,False
T1,delta_days_since_latest_oos,300,11691,-66.45,-77.26276623043367,0.055473744104193194,0.052015225387049835,0.0,0.0007692307692307692,-0.0007692307692307692,False
T1,delta_days_since_latest_de,300,11693,-77.51,-84.87043530317284,0.038656094593573075,0.026024687134752977,0.0,0.0005982905982905983,-0.0005982905982905983,False
T1,delta_oos_decay_90d,300,11700,0.4033388065249422,0.4452988735472393,-0.0555822952853062,0.05504273504273502,0.0,0.0,0.0,False
T1,delta_de_decay_90d,300,11700,0.4634893314891766,0.49935985291986507,-0.04716257153521519,0.0551282051282051,0.0,0.0,0.0,False
T1,delta_recent_oos_independent_source_count_90d,300,11700,0.41,0.45418803418803416,-0.04310329323134466,0.0341025641025641,0.0,0.0,0.0,False
T1,delta_recent_de_independent_source_count_90d,300,11700,0.44666666666666666,0.5052991452991453,-0.057535789406940346,0.0362393162393162,0.0,0.0,0.0,False
T1,delta_active_address_oos_count,300,11700,0.21,0.24854700854700854,-0.06715746292123675,0.03470085470085471,0.0,0.0,0.0,False
T1,delta_active_address_de_count,300,11700,0.26,0.27076923076923076,-0.01841060702020963,0.018034188034188034,0.0,0.0,0.0,False
T1,delta_link_confidence_mean,300,11700,0.00027790397392138475,-0.00017135875621358544,0.15158065710259672,0.05666666666666664,0.0,0.0,0.0,False
T1,delta_post_60d_oos_vehicle_signal_count,300,11700,0.05,0.027435897435897437,0.06671722227910219,0.02572649572649577,0.0,0.0,0.0,False
T1,delta_post_60d_prior_state_persistence_any_present,300,11700,0.043333333333333335,0.028888888888888888,0.05626994172059564,0.019145299145299166,0.0,0.0,0.0,False
T1,delta_t1_update_observation_lag_mean_days,300,11700,24.839444444444442,24.20499287749288,0.04199536710560502,0.04470085470085472,0.0,0.0,0.0,False
T1,delta_t1_late_arriving_update_count_over_30d,300,11700,0.6033333333333334,0.5926495726495726,0.01638107930722446,0.017435897435897463,0.0,0.0,0.0,False
