candidate_record_id,post_60d_active_oos_credential_signal_count,post_60d_combined_title_active_credential_conflict_present,new_meaningful_oos_title_signal_post_60d_present
CAN-XU63I8PR57,0,0,0
CAN-YA1QGYU8FD,0,0,0
CAN-B8LFAAGEZA,0,0,0
CAN-O0SM0ALN3C,0,0,0
CAN-8FXEGNEXJS,0,0,0
CAN-P62EXSST7Q,0,0,0
CAN-8106RWSSRX,0,0,0
CAN-HWM0AQNR2L,0,0,0
CAN-HE7Q202YWE,0,0,0
CAN-XA9KU2IZ1B,0,0,0
CAN-VGKMTWTMLR,0,0,0
CAN-K3UYHZZHX5,0,0,0
CAN-2GBKVQTAOP,0,0,0
CAN-RGAJ1VIHYI,0,0,0
CAN-X85MTTCMBB,0,0,0
CAN-LY21STGO5M,0,0,0
CAN-3YEL4UAE02,0,0,0
CAN-NND6ZD2Y3W,0,0,0
CAN-00P56JV484,0,0,0
CAN-UK0RGAXFQY,0,0,0
CAN-1EF9T0H5UY,0,0,0
CAN-L5HJ4J9F1Q,0,0,0
CAN-VXCZPW42N0,0,0,1
CAN-UAQAX3CSPM,0,0,0
CAN-MZ8TDG8XSC,0,0,0
CAN-OOGDP9W44M,0,0,0
CAN-AUTHNCYNH6,0,0,0
CAN-4CKVLH2VRV,0,0,0
CAN-DYE38UZRYO,0,0,0
CAN-Q3JM4NJXCM,0,0,0
CAN-6V5U6RG2WD,0,0,0
CAN-FXGQ70VDF6,0,0,0
CAN-3ZWOLT52IK,0,0,0
CAN-7CI5CNFS9W,0,0,0
CAN-M5Y8KZ5E76,1,1,0
CAN-6M1GZ6DTBE,0,0,0
CAN-SEYEB1ZSSF,0,0,0
CAN-HBDFN23R8K,0,0,0
CAN-XD9A7TVPI2,0,0,0
CAN-F8N3CRIOBP,0,0,0
CAN-EHFT23OVVG,0,0,0
CAN-4QJMNSCVQ7,0,0,0
CAN-MWG162BPL5,0,0,0
CAN-6RUAWC87K9,0,0,0
CAN-S0O62URGCO,0,0,0
CAN-MNPS146NX2,1,1,0
CAN-2HVV255QOD,0,0,0
CAN-EKQQOAOPV4,0,0,0
CAN-CVCLZGGORS,0,0,0
CAN-EHWIVCR0FP,0,0,0
CAN-5XUD5PU8H0,0,0,0
CAN-NC5QCRDQ07,0,0,0
CAN-XQSDCFZ1IS,0,0,0
CAN-7VPHGIZPH8,0,0,0
CAN-SYCHXI76DS,0,0,0
CAN-5HI9VC7BVA,0,0,0
CAN-EOWRBSMR5J,0,0,0
CAN-LI6MXFL64U,0,0,0
CAN-B9LCNYNBEX,0,0,0
CAN-XKB8801EOE,0,0,0
CAN-5MD4OXWXBU,0,0,0
CAN-K2E9AENTEW,0,0,0
CAN-2KBPB1PV73,0,0,0
CAN-RXAZUU87ZF,0,0,0
CAN-4RZ3D8UTRS,0,0,0
CAN-Q6G6XRJ1W4,0,0,0
CAN-E8DPUK67FV,0,0,0
CAN-M6JR6NL09J,0,0,0
CAN-28L0V7ZSNI,0,0,0
CAN-RFSHDUG5NB,0,0,0
CAN-AUKDROUFUV,0,0,0
CAN-PTQGMMU4X8,0,0,0
CAN-30G2I5D7QB,0,0,0
CAN-2PRMDXN6AG,1,1,0
CAN-6YJ0CICBZS,0,0,0
CAN-HNL15PYSFT,0,0,0
CAN-TKOOJAZPXM,0,0,0
CAN-O9HABZH7SV,0,0,0
CAN-0N5G8XH0L8,0,0,0
CAN-FXNXYPZJMA,0,0,0
CAN-GMZYZ8YMDL,0,0,0
CAN-ZX17TJBVFN,0,0,0
CAN-ODSN5KMQIY,0,0,0
CAN-JZ6OPOSBD5,0,0,0
CAN-HY15EM7L9M,0,0,0
CAN-RGZMTODDYB,0,0,0
CAN-ABVZF2G56F,0,0,0
CAN-VPHHW98E7H,0,0,0
CAN-428L2VHG1E,0,0,0
CAN-DPDFPEIA1F,0,0,0
CAN-UR1C4JP4VO,0,0,0
CAN-DOAKO4NNLZ,0,0,0
CAN-M39URHQ06V,0,0,0
CAN-UZSBW8DOL7,1,1,0
CAN-QLTRQNSPOS,0,0,0
CAN-N528AY7Q9Q,0,0,0
CAN-YC2YCI2VDS,0,0,0
CAN-7UQK6HCYNQ,0,0,0
CAN-KCQ7ULW6WP,0,0,0
CAN-6T6VRW0DWV,0,0,0
CAN-D2NQFXESTT,0,0,0
CAN-ZSGTTG0DNE,0,0,0
CAN-HQR33B163A,0,0,0
CAN-CLUWTDD3OD,0,0,0
CAN-4TZOTI9CN0,0,0,0
